Present         Present Cont    Past            Past Part      
micturate       micturating     micturated      micturated     
migrate         migrating       migrated        migrated       
militarise      militarising    militarised     militarised    
militarize      militarizing    militarized     militarized    
militate        militating      militated       militated      
milk            milking         milked          milked         
mill            milling         milled          milled         
mime            miming          mimed           mimed          
mimic           mimicking       mimicked        mimicked       
mince           mincing         minced          minced         
mind            minding         minded          minded         
mine            mining          mined           mined          
mingle          mingling        mingled         mingled        
miniaturise     miniaturising   miniaturised    miniaturised   
miniaturize     miniaturizing   miniaturized    miniaturized   
minimise        minimising      minimised       minimised      
minimize        minimizing      minimized       minimized      
minister        ministering     ministered      ministered     
minor           minoring        minored         minored        
mint            minting         minted          minted         
minute          minuting        minuted         minuted        
mirror          mirroring       mirrored        mirrored       
misapply        misapplying     misapplied      misapplied     
misappropriate  misappropriating misappropriated misappropriated
misbehave       misbehaving     misbehaved      misbehaved     
miscalculate    miscalculating  miscalculated   miscalculated  
miscarry        miscarrying     miscarried      miscarried     
miscast         miscasting      miscast         miscast        
misconceive     misconceiving   misconceived    misconceived   
misconstrue     misconstruing   misconstrued    misconstrued   
miscount        miscounting     miscounted      miscounted     
misdiagnose     misdiagnosing   misdiagnosed    misdiagnosed   
misdial         misdialing      misdialed       misdialed      
misdirect       misdirecting    misdirected     misdirected    
misfile         misfiling       misfiled        misfiled       
misfire         misfiring       misfired        misfired       
misgovern       misgoverning    misgoverned     misgoverned    
mishandle       mishandling     mishandled      mishandled     
mishear         mishearing      misheard        misheard       
mishit          mishitting      mishit          mishit         
misinform       misinforming    misinformed     misinformed    
misinterpret    misinterpreting misinterpreted  misinterpreted 
misjudge        misjudging      misjudged       misjudged      
miskey          miskeying       miskeyed        miskeyed       
mislay          mislaying       mislaid         mislaid        
mislead         misleading      misled          misled         
mismanage       mismanaging     mismanaged      mismanaged     
mismatch        mismatching     mismatched      mismatched     
misname         misnaming       misnamed        misnamed       
misplace        misplacing      misplaced       misplaced      
misplay         misplaying      misplayed       misplayed      
mispronounce    mispronouncing  mispronounced   mispronounced  
misquote        misquoting      misquoted       misquoted      
misread         misreading      misread         misread        
misreport       misreporting    misreported     misreported    
misrepresent    misrepresenting misrepresented  misrepresented 
miss            missing         missed          missed         
mission         missioning      missioned       missioned      
misspell        misspelling     misspelled      misspelled     
misspend        misspending     misspent        misspent       
mist            misting         misted          misted         
mistake         mistaking       mistook         mistaken       
mistime         mistiming       mistimed        mistimed       
mistreat        mistreating     mistreated      mistreated     
mistrust        mistrusting     mistrusted      mistrusted     
misunderstand   misunderstanding misunderstood   misunderstood  
misuse          misusing        misused         misused        
mitigate        mitigating      mitigated       mitigated      
mitre           mitring         mitred          mitred         
mix             mixing          mixed           mixed          
moan            moaning         moaned          moaned         
mob             mobbing         mobbed          mobbed         
mobilise        mobilising      mobilised       mobilised      
mobilize        mobilizing      mobilized       mobilized      
mock            mocking         mocked          mocked         
mod             modding         modded          modded         
model           modeling        modeled         modeled        
moderate        moderating      moderated       moderated      
modernise       modernising     modernised      modernised     
modernize       modernizing     modernized      modernized     
modify          modifying       modified        modified       
modulate        modulating      modulated       modulated      
moisten         moistening      moistened       moistened      
moisturise      moisturising    moisturised     moisturised    
moisturize      moisturizing    moisturized     moisturized    
mold            molding         molded          molded         
molder          moldering       moldered        moldered       
molest          molesting       molested        molested       
mollify         mollifying      mollified       mollified      
mollycoddle     mollycoddling   mollycoddled    mollycoddled   
molt            molting         molted          molted         
monitor         monitoring      monitored       monitored      
monopolise      monopolising    monopolised     monopolised    
monopolize      monopolizing    monopolized     monopolized    
moo             mooing          mooed           mooed          
mooch           mooching        mooched         mooched        
moon            mooning         mooned          mooned         
moonlight       moonlighting    moonlighted     moonlighted    
moonwalk        moonwalking     moonwalked      moonwalked     
moor            mooring         moored          moored         
moot            mooting         mooted          mooted         
mop             mopping         mopped          mopped         
mope            moping          moped           moped          
moralise        moralising      moralised       moralised      
moralize        moralizing      moralized       moralized      
morph           morphing        morphed         morphed        
mortar          mortaring       mortared        mortared       
mortgage        mortgaging      mortgaged       mortgaged      
mortify         mortifying      mortified       mortified      
mosey           moseying        moseyed         moseyed        
mosh            moshing         moshed          moshed         
mothball        mothballing     mothballed      mothballed     
mother          mothering       mothered        mothered       
motion          motioning       motioned        motioned       
motivate        motivating      motivated       motivated      
motor           motoring        motored         motored        
mould           moulding        moulded         moulded        
moulder         mouldering      mouldered       mouldered      
moult           moulting        moulted         moulted        
mount           mounting        mounted         mounted        
mourn           mourning        mourned         mourned        
mouse           mousing         moused          moused         
mouth           mouthing        mouthed         mouthed        
move            moving          moved           moved          
movies          None            None            None           
mow             mowing          mowed           mown           
muck            mucking         mucked          mucked         
muddle          muddling        muddled         muddled        
muddy           muddying        muddied         muddied        
muff            muffing         muffed          muffed         
muffle          muffling        muffled         muffled        
mug             mugging         mugged          mugged         
mulch           mulching        mulched         mulched        
mull            mulling         mulled          mulled         
multicast       None            None            None           
multiply        multiplying     multiplied      multiplied     
multitask       multitasking    multitasked     multitasked    
mumble          mumbling        mumbled         mumbled        
mumbling        None            None            None           
mummify         mummifying      mummified       mummified      
munch           munching        munched         munched        
murder          murdering       murdered        murdered       
murmur          murmuring       murmured        murmured       
murmuring       murmuring       murmured        murmured       
murmurings      None            None            None           
muscle          muscling        muscled         muscled        
muse            musing          mused           mused          
mushroom        mushrooming     mushroomed      mushroomed     
muss            mussing         mussed          mussed         
muster          mustering       mustered        mustered       
mutate          mutating        mutated         mutated        
mute            muting          muted           muted          
mutilate        mutilating      mutilated       mutilated      
mutiny          mutinying       mutinied        mutinied       
mutter          muttering       muttered        muttered       
muzzle          muzzling        muzzled         muzzled        
mystify         mystifying      mystified       mystified      
nab             nabbing         nabbed          nabbed         
nag             nagging         nagged          nagged         
nail            nailing         nailed          nailed         
name            naming          named           named          
namecheck       None            None            None           
nap             napping         napped          napped         
narrate         narrating       narrated        narrated       
narrow          narrowing       narrowed        narrowed       
narrowcast      narrowcasting   narrowcast      narrowcast     
nasalise        nasalising      nasalised       nasalised      
nasalize        nasalizing      nasalized       nasalized      
nationalise     nationalising   nationalised    nationalised   
nationalize     nationalizing   nationalized    nationalized   
natter          nattering       nattered        nattered       
naturalise      naturalising    naturalised     naturalised    
naturalize      naturalizing    naturalized     naturalized    
nauseate        nauseating      nauseated       nauseated      
navigate        navigating      navigated       navigated      
near            nearing         neared          neared         
nearer          None            None            None           
nearest         None            None            None           
neaten          neatening       neatened        neatened       
necessitate     necessitating   necessitated    necessitated   
neck            necking         necked          necked         
necklace        necklacing      necklaced       necklaced      
need            needing         needed          needed         
needle          needling        needled         needled        
negate          negating        negated         negated        
negative        negativing      negatived       negatived      
neglect         neglecting      neglected       neglected      
negotiate       negotiating     negotiated      negotiated     
neigh           neighing        neighed         neighed        
nerve           nerving         nerved          nerved         
nest            nesting         nested          nested         
nestle          nestling        nestled         nestled        
net             netting         netted          netted         
nettle          nettling        nettled         nettled        
network         networking      networked       networked      
neuter          neutering       neutered        neutered       
neutralise      neutralising    neutralised     neutralised    
neutralize      neutralizing    neutralized     neutralized    
nibble          nibbling        nibbled         nibbled        
nick            nicking         nicked          nicked         
nickname        nicknaming      nicknamed       nicknamed      
niggle          niggling        niggled         niggled        
nip             nipping         nipped          nipped         
nitrify         nitrifying      nitrified       nitrified      
nix             nixing          nixed           nixed          
nobble          nobbling        nobbled         nobbled        
nod             nodding         nodded          nodded         
nominalize      nominalizing    nominalized     nominalized    
nominate        nominating      nominated       nominated      
norm            norming         normed          normed         
normalise       normalising     normalised      normalised     
normalize       normalizing     normalized      normalized     
nose            nosing          nosed           nosed          
nosedive        nosediving      nosedived       nosedived      
nosh            noshing         noshed          noshed         
notarise        notarising      notarised       notarised      
notarize        notarizing      notarized       notarized      
notch           notching        notched         notched        
note            noting          noted           noted          
notice          noticing        noticed         noticed        
notify          notifying       notified        notified       
nourish         nourishing      nourished       nourished      
nudge           nudging         nudged          nudged         
nuke            nuking          nuked           nuked          
nullify         nullifying      nullified       nullified      
numb            numbing         numbed          numbed         
number          numbering       numbered        numbered       
nurse           nursing         nursed          nursed         
nurture         nurturing       nurtured        nurtured       
nut             nutting         nutted          nutted         
nuzzle          nuzzling        nuzzled         nuzzled        
obey            obeying         obeyed          obeyed         
obfuscate       obfuscating     obfuscated      obfuscated     
object          objecting       objected        objected       
objectify       objectifying    objectified     objectified    
oblige          obliging        obliged         obliged        
obliterate      obliterating    obliterated     obliterated    
obscure         obscuring       obscured        obscured       
observe         observing       observed        observed       
obsess          obsessing       obsessed        obsessed       
obstruct        obstructing     obstructed      obstructed     
obtain          obtaining       obtained        obtained       
obtrude         obtruding       obtruded        obtruded       
obviate         obviating       obviated        obviated       
occasion        occasioning     occasioned      occasioned     
occlude         occluding       occluded        occluded       
occupy          occupying       occupied        occupied       
occur           occurring       occurred        occurred       
off             offing          offed           offed          
offend          offending       offended        offended       
offer           offering        offered         offered        
officiate       officiating     officiated      officiated     
offload         offloading      offloaded       offloaded      
offset          offsetting      offset          offset         
offshore        None            None            None           
ogle            ogling          ogled           ogled          
oil             oiling          oiled           oiled          
okay            okaying         okayed          okayed         
omit            omitting        omitted         omitted        
ooze            oozing          oozed           oozed          
open            opening         opened          opened         
operate         operating       operated        operated       
opine           opining         opined          opined         
oppose          opposing        opposed         opposed        
oppress         oppressing      oppressed       oppressed      
opt             opting          opted           opted          
optimise        optimising      optimised       optimised      
optimize        optimizing      optimized       optimized      
option          optioning       optioned        optioned       
orbit           orbiting        orbited         orbited        
orchestrate     orchestrating   orchestrated    orchestrated   
ordain          ordaining       ordained        ordained       
order           ordering        ordered         ordered        
organise        organising      organised       organised      
organize        organizing      organized       organized      
orient          orienting       oriented        oriented       
orientate       orientating     orientated      orientated     
originate       originating     originated      originated     
ornament        ornamenting     ornamented      ornamented     
orphan          orphaning       orphaned        orphaned       
oscillate       oscillating     oscillated      oscillated     
ossify          ossifying       ossified        ossified       
ostracise       ostracising     ostracised      ostracised     
ostracize       ostracizing     ostracized      ostracized     
oust            ousting         ousted          ousted         
out             outing          outed           outed          
outbid          outbidding      outbid          outbid         
outclass        outclassing     outclassed      outclassed     
outdistance     outdistancing   outdistanced    outdistanced   
outdo           outdoing        outdid          outdone        
outface         outfacing       outfaced        outfaced       
outfit          outfitting      outfitted       outfitted      
outflank        outflanking     outflanked      outflanked     
outfox          outfoxing       outfoxed        outfoxed       
outgrow         outgrowing      outgrew         outgrown       
outgun          outgunning      outgunned       outgunned      
outlast         outlasting      outlasted       outlasted      
outlaw          outlawing       outlawed        outlawed       
outline         outlining       outlined        outlined       
outlive         outliving       outlived        outlived       
outmaneuver     outmaneuvering  outmaneuvered   outmaneuvered  
outmanoeuvre    outmanoeuvring  outmanoeuvred   outmanoeuvred  
outnumber       outnumbering    outnumbered     outnumbered    
outpace         outpacing       outpaced        outpaced       
outperform      outperforming   outperformed    outperformed   
outplay         outplaying      outplayed       outplayed      
outpoint        outpointing     outpointed      outpointed     
output          outputting      outputted       outputted      
outrage         outraging       outraged        outraged       
outrank         outranking      outranked       outranked      
outrun          outrunning      outran          outrun         
outsell         outselling      outsold         outsold        
outshine        outshining      outshone        outshone       
outsmart        outsmarting     outsmarted      outsmarted     
outsource       outsourcing     outsourced      outsourced     
outstay         outstaying      outstayed       outstayed      
outstrip        outstripping    outstripped     outstripped    
outvote         outvoting       outvoted        outvoted       
outweigh        outweighing     outweighed      outweighed     
outwit          outwitting      outwitted       outwitted      
overachieve     overachieving   overachieved    overachieved   
overact         overacting      overacted       overacted      
overawe         overawing       overawed        overawed       
overbalance     overbalancing   overbalanced    overbalanced   
overbook        overbooking     overbooked      overbooked     
overburden      overburdening   overburdened    overburdened   
overcharge      overcharging    overcharged     overcharged    
overcome        overcoming      overcame        overcome       
overcompensate  overcompensating overcompensated overcompensated
overcook        overcooking     overcooked      overcooked     
overdevelop     overdeveloping  overdeveloped   overdeveloped  
overdo          overdoing       overdid         overdone       
overdose        overdosing      overdosed       overdosed      
overdraw        overdrawing     overdrew        overdrawn      
overdub         overdubbing     overdubbed      overdubbed     
overeat         overeating      overate         overeaten      
overemphasize   overemphasizing overemphasized  overemphasized 
overestimate    overestimating  overestimated   overestimated  
overexpose      overexposing    overexposed     overexposed    
overextend      overextending   overextended    overextended   
overfeed        overfeeding     overfed         overfed        
overflow        overflowing     overflowed      overflowed     
overfly         overflying      overflew        overflown      
overgeneralise  overgeneraliseing overgeneralised overgeneralised
overgeneralize  overgeneralizing overgeneralized overgeneralized
overgraze       overgrazing     overgrazed      overgrazed     
overhang        overhanging     overhung        overhung       
overhaul        overhauling     overhauled      overhauled     
overhear        overhearing     overheard       overheard      
overheat        overheating     overheated      overheated     
overindulge     overindulging   overindulged    overindulged   
overlap         overlapping     overlapped      overlapped     
overlay         overlaying      overlaid        overlaid       
overlie         overlying       overlay         overlain       
overload        overloading     overloaded      overloaded     
overlook        overlooking     overlooked      overlooked     
overpay         overpaying      overpaid        overpaid       
overplay        overplaying     overplayed      overplayed     
overpower       overpowering    overpowered     overpowered    
overprint       overprinting    overprinted     overprinted    
overproduce     overproducing   overproduced    overproduced   
overrate        overrating      overrated       overrated      
overreach       overreaching    overreached     overreached    
overreact       overreacting    overreacted     overreacted    
override        overriding      overrode        overridden     
overrule        overruling      overruled       overruled      
overrun         overrunning     overran         overrun        
oversee         overseeing      oversaw         overseen       
oversell        overselling     oversold        oversold       
overshadow      overshadowing   overshadowed    overshadowed   
overshoot       overshooting    overshot        overshot       
oversimplify    oversimplifying oversimplified  oversimplified 
oversleep       oversleeping    overslept       overslept      
overspend       overspending    overspent       overspent      
overstate       overstating     overstated      overstated     
overstay        overstaying     overstayed      overstayed     
overstep        overstepping    overstepped     overstepped    
overstock       overstocking    overstocked     overstocked    
overstretch     overstretching  overstretched   overstretched  
overtake        overtaking      overtook        overtaken      
overtax         overtaxing      overtaxed       overtaxed      
overthrow       overthrowing    overthrew       overthrown     
overtrain       overtraining    overtrained     overtrained    
overturn        overturning     overturned      overturned     
overuse         overusing       overused        overused       
overvalue       overvaluing     overvalued      overvalued     
overwhelm       overwhelming    overwhelmed     overwhelmed    
overwinter      overwintering   overwintered    overwintered   
overwork        overworking     overworked      overworked     
overwrite       overwriting     overwrote       overwritten    
ovulate         ovulating       ovulated        ovulated       
owe             owing           owed            owed           
own             owning          owned           owned          
oxidise         oxidising       oxidised        oxidised       
oxidize         oxidizing       oxidized        oxidized       
oxygenate       oxygenating     oxygenated      oxygenated     
pace            pacing          paced           paced          
pacify          pacifying       pacified        pacified       
pack            packing         packed          packed         
package         packaging       packaged        packaged       
packetise       None            None            None           
packetize       None            None            None           
pad             padding         padded          padded         
paddle          paddling        paddled         paddled        
padlock         padlocking      padlocked       padlocked      
page            paging          paged           paged          
paginate        paginating      paginated       paginated      
pailful         None            None            None           
pain            paining         pained          pained         
paint           painting        painted         painted        
pair            pairing         paired          paired         
pal             palling         palled          palled         
palatalise      palatalising    palatalised     palatalised    
palatalize      palatalizing    palatalized     palatalized    
pale            paling          paled           pale           
pall            palling         palled          palled         
palliate        palliating      palliated       palliated      
palm            palming         palmed          palmed         
palpate         palpating       palpated        palpated       
palpitate       palpitating     palpitated      palpitated     
pamper          pampering       pampered        pampered       
pan             panning         panned          panned         
pander          pandering       pandered        pandered       
panel           paneling        paneled         paneled        
panhandle       panhandling     panhandled      panhandled     
panic           panicking       panicked        panicked       
pant            panting         panted          panted         
paper           papering        papered         papered        
parachute       parachuting     parachuted      parachuted     
parade          parading        paraded         paraded        
parallel        paralleling     paralleled      paralleled     
paralyse        paralysing      paralysed       paralysed      
paralyze        paralyzing      paralyzed       paralyzed      
paraphrase      paraphrasing    paraphrased     paraphrased    
parboil         parboiling      parboiled       parboiled      
parcel          parceling       parceled        parceled       
parch           parching        parched         parched        
pardon          pardoning       pardoned        pardoned       
pare            paring          pared           pared          
park            parking         parked          parked         
parlay          parlaying       parlayed        parlayed       
parley          parleying       parleyed        parleyed       
parody          parodying       parodied        parodied       
parole          paroling        paroled         paroled        
parrot          parroting       parroted        parroted       
parry           parrying        parried         parried        
parse           parsing         parsed          parsed         
part            parting         parted          parted         
partake         partaking       partook         partaken       
participate     participating   participated    participated   
particularise   particularising particularised  particularised 
particularize   particularizing particularized  particularized 
partition       partitioning    partitioned     partitioned    
partner         partnering      partnered       partnered      
party           partying        partied         partied        
pass            passing         passed          passed         
passivise       None            None            None           
passivize       None            None            None           
paste           pasting         pasted          pasted         
pasteurise      pasteurising    pasteurised     pasteurised    
pasteurize      pasteurizing    pasteurized     pasteurized    
pasture         pasturing       pastured        pastured       
pat             patting         patted          pated          
patch           patching        patched         patched        
patent          patenting       patented        patented       
patrol          patrolling      patrolled       patrolled      
patronise       patronising     patronised      patronised     
patronize       patronizing     patronized      patronized     
patter          pattering       pattered        pattered       
pattern         patterning      patterned       patterned      
pause           pausing         paused          paused         
pave            paving          paved           paved          
paw             pawing          pawed           pawed          
pawn            pawning         pawned          pawned         
pay             paying          paid            paid           
peak            peaking         peaked          peaked         
peal            pealing         pealed          pealed         
peck            pecking         pecked          pecked         
pedal           pedaling        pedaled         pedaled        
peddle          peddling        peddled         peddled        
pedestrianise   pedestrianising pedestrianised  pedestrianised 
pedestrianize   pedestrianizing pedestrianized  pedestrianized 
pee             peeing          peed            peed           
peek            peeking         peeked          peeked         
peel            peeling         peeled          peeled         
peep            peeping         peeped          peeped         
peer            peering         peered          peered         
peg             pegging         pegged          pegged         
pelt            pelting         pelted          pelted         
pen             penning         penned          pent           
penalise        penalising      penalised       penalised      
penalize        penalizing      penalized       penalized      
pencil          penciling       penciled        pencilled      
penetrate       penetrating     penetrated      penetrated     
pension         pensioning      pensioned       pensioned      
people          peopling        peopled         peopled        
pep             pepping         pepped          pepped         
pepper          peppering       peppered        peppered       
perambulate     perambulating   perambulated    perambulated   
perceive        perceiving      perceived       perceived      
perch           perching        perched         perched        
percolate       percolating     percolated      percolated     
perfect         perfecting      perfected       perfected      
perforate       perforating     perforated      perforated     
perform         performing      performed       performed      
perfume         perfuming       perfumed        perfumed       
perish          perishing       perished        perished       
perjure         perjuring       perjured        perjured       
perk            perking         perked          perked         
perm            perming         permed          permed         
permeate        permeating      permeated       permeated      
permit          permitting      permitted       permitted      
perpetrate      perpetrating    perpetrated     perpetrated    
perpetuate      perpetuating    perpetuated     perpetuated    
perplex         perplexing      perplexed       perplexed      
persecute       persecuting     persecuted      persecuted     
persevere       persevering     persevered      persevered     
persist         persisting      persisted       persisted      
personalise     personalising   personalised    personalised   
personalize     personalizing   personalized    personalized   
personify       personifying    personified     personified    
perspire        perspiring      perspired       perspired      
persuade        persuading      persuaded       persuaded      
pertain         pertaining      pertained       pertained      
perturb         perturbing      perturbed       perturbed      
peruse          perusing        perused         perused        
pervade         pervading       pervaded        pervaded       
pervert         perverting      perverted       perverted      
pester          pestering       pestered        pestered       
pet             petting         petted          petted         
peter           petering        petered         petered        
petition        petitioning     petitioned      petitioned     
petrify         petrifying      petrified       petrified      
phase           phasing         phased          phased         
philosophise    philosophising  philosophised   philosophised  
philosophize    philosophizing  philosophized   philosophized  
phone           phoning         phoned          phoned         
photocopy       photocopying    photocopied     photocopied    
photograph      photographing   photographed    photographed   
photoshop       None            None            None           
photosynthesise photosynthesising photosynthesised photosynthesised
photosynthesize photosynthesizing photosynthesized photosynthesized
phrase          phrasing        phrased         phrased        
pick            picking         picked          picked         
picket          picketing       picketed        picketed       
pickle          pickling        pickled         pickled        
picnic          picnicking      picnicked       picnicked      
picture         picturing       pictured        pictured       
picturise       None            None            None           
picturize       picturizing     picturized      picturized     
piddle          piddling        piddled         piddled        
piece           piecing         pieced          pieced         
pierce          piercing        pierced         pierced        
pig             pigging         pigged          pigged         
pigeonhole      pigeonholing    pigeonholed     pigeonholed    
piggyback       piggybacking    piggybacked     piggybacked    
pike            piking          piked           piked          
pile            piling          piled           piled          
pilfer          pilfering       pilfered        pilfered       
pill            pilling         pilled          pilled         
pillage         pillaging       pillaged        pillaged       
pillory         pillorying      pilloried       pilloried      
pillow          pillowing       pillowed        pillowed       
pilot           piloting        piloted         piloted        
pimp            pimping         pimped          pimped         
pin             pinning         pinned          pinned         
pinch           pinching        pinched         pinched        
pine            pining          pined           pined          
ping            pinging         pinged          pinged         
pinion          pinioning       pinioned        pinioned       
pink            pinking         pinked          pinked         
pinpoint        pinpointing     pinpointed      pinpointed     
pioneer         pioneering      pioneered       pioneered      
pip             piping          piped           piped          
pipe            piping          piped           piped          
pique           piquing         piqued          piqued         
pirate          pirating        pirated         pirated        
pirouette       pirouetting     pirouetted      pirouetted     
piss            pissing         pissed          pissed         
pit             pitting         pitted          pitted         
pitch           pitching        pitched         pitched        
pity            pitying         pitied          pitied         
pivot           pivoting        pivoted         pivoted        
pixelate        None            None            None           
pixellate       None            None            None           
placate         placating       placated        placated       
place           placing         placed          placed         
plagiarise      plagiarising    plagiarised     plagiarised    
plagiarize      plagiarizing    plagiarized     plagiarized    
plague          plaguing        plagued         plagued        
plait           plaiting        plaited         plaited        
plan            planning        planned         planned        
plane           planing         planed          planed         
plant           planting        planted         planted        
plaster         plastering      plastered       plastered      
plasticise      plasticising    plasticised     plasticised    
plasticize      plasticizing    plasticized     plasticized    
plate           plating         plated          plated         
plateau         plateauing      plateaued       plateaued      
play            playing         played          played         
plead           pleading        pleaded         pleaded        
please          pleasing        pleased         pleased        
pledge          pledging        pledged         pledged        
plight          plighting       plighted        plighted       
plod            plodding        plodded         plodded        
plonk           plonking        plonked         plonked        
plop            plopping        plopped         plopped        
plot            plotting        plotted         plotted        
plough          ploughing       ploughed        ploughed       
pluck           plucking        plucked         plucked        
plug            plugging        plugged         plugged        
plumb           plumbing        plumbed         plumbed        
plummet         plummeting      plummeted       plummeted      
plump           plumping        plumped         plumped        
plunder         plundering      plundered       plundered      
plunge          plunging        plunged         plunged        
plunk           plunking        plunked         plunked        
pluralise       pluralising     pluralised      pluralised     
pluralize       pluralizing     pluralized      pluralized     
ply             plying          plied           plied          
poach           poaching        poached         poached        
pocket          pocketing       pocketed        pocketed       
point           pointing        pointed         pointed        
poise           poising         poised          poised         
poison          poisoning       poisoned        poisoned       
poke            poking          poked           poked          
polarise        polarising      polarised       polarised      
polarize        polarizing      polarized       polarized      
pole            poling          poled           poled          
poleax          poleaxing       poleaxed        poleaxed       
poleaxe         poleaxing       poleaxed        poleaxed       
police          policing        policed         policed        
polish          polishing       polished        polished       
politicise      politicising    politicised     politicised    
politicize      politicizing    politicized     politicized    
poll            polling         polled          polled         
pollard         pollarding      pollarded       pollarded      
pollinate       pollinating     pollinated      pollinated     
pollute         polluting       polluted        polluted       
polymerise      polymerising    polymerised     polymerised    
polymerize      polymerizing    polymerized     polymerized    
ponce           poncing         ponced          ponced         
ponder          pondering       pondered        pondered       
pong            ponging         ponged          ponged         
pontificate     pontificating   pontificated    pontificated   
pony            ponying         ponied          ponied         
poo             None            None            None           
pooh            poohing         poohed          poohed         
pool            pooling         pooled          pooled         
poop            pooping         pooped          pooped         
pootle          None            None            None           
pop             popping         popped          popped         
popularise      popularising    popularised     popularised    
popularize      popularizing    popularized     popularized    
populate        populating      populated       populated      
pore            poring          pored           pored          
port            porting         ported          ported         
portend         portending      portended       portended      
portion         portioning      portioned       portioned      
portray         portraying      portrayed       portrayed      
pose            posing          posed           posed          
posit           positing        posited         posited        
position        positioning     positioned      positioned     
possess         possessing      possessed       possessed      
posset          posseting       posseted        posseted       
post            posting         posted          posted         
postmark        postmarking     postmarked      postmarked     
postpone        postponing      postponed       postponed      
postulate       postulating     postulated      postulated     
posture         posturing       postured        postured       
pot             potting         potted          potted         
potter          pottering       pottered        pottered       
pounce          pouncing        pounced         pounced        
pound           pounding        pounded         pounded        
pour            pouring         poured          poured         
pout            pouting         pouted          pouted         
powder          powdering       powdered        powdered       
power           powering        powered         powered        
practice        practicing      practiced       practiced      
practise        practising      practised       practised      
praise          praising        praised         praised        
praises         praising        praised         praised        
prance          prancing        pranced         pranced        
prang           pranging        pranged         pranged        
prate           prating         prated          prated         
prattle         prattling       prattled        prattled       
pray            praying         prayed          prayed         
preach          preaching       preached        preached       
precede         preceding       preceded        preceded       
precipitate     precipitating   precipitated    precipitated   
precis          precising       precised        precised       
preclude        precluding      precluded       precluded      
predate         predating       predated        predated       
predecease      predeceasing    predeceased     predeceased    
predetermine    predetermining  predetermined   predetermined  
predicate       predicating     predicated      predicated     
predict         predicting      predicted       predicted      
predispose      predisposing    predisposed     predisposed    
predominate     predominating   predominated    predominated   
preen           preening        preened         preened        
preface         prefacing       prefaced        prefaced       
prefer          preferring      preferred       preferred      
prefigure       prefiguring     prefigured      prefigured     
