Present         Present Cont    Past            Past Part      
auction         auctioning      auctioned       auctioned      
audit           auditing        audited         audited        
audition        auditioning     auditioned      auditioned     
augment         augmenting      augmented       augmented      
augur           auguring        augured         augured        
authenticate    authenticating  authenticated   authenticated  
author          authoring       authored        authored       
authorise       authorising     authorised      authorised     
authorize       authorizing     authorized      authorized     
autograph       autographing    autographed     autographed    
automate        automating      automated       automated      
autosave        None            None            None           
autowind        None            None            None           
avail           availing        availed         availed        
avenge          avenging        avenged         avenged        
aver            averring        averred         averred        
average         averaging       averaged        averaged       
avert           averting        averted         averted        
avoid           avoiding        avoided         avoided        
avow            avowing         avowed          avowed         
await           awaiting        awaited         awaited        
awake           awaking         awoke           awaked         
awaken          awakening       awakened        awakened       
award           awarding        awarded         awarded        
awe             awing           awed            awed           
ax              axing           axed            axed           
axe             axing           axed            axed           
baa             baaing          baaed           baaed          
babble          babbling        babbled         babbled        
baby            babying         babied          babied         
babysit         babysitting     babysit         babysat        
back            backing         backed          backed         
backcomb        backcombing     backcombed      backcombed     
backdate        backdating      backdated       backdated      
backfill        backfilling     backfilled      backfilled     
backfire        backfiring      backfired       backfired      
backlight       backlighting    backlighted     backlighted    
backpack        backpacking     backpacked      backpacked     
backspace       backspacing     backspaced      backspaced     
backtrack       backtracking    backtracked     backtracked    
badger          badgering       badgered        badgered       
baffle          baffling        baffled         baffled        
bag             bagging         bagged          bagged         
bail            bailing         bailed          bailed         
bait            baiting         baited          baited         
bake            baking          baked           baked          
balance         balancing       balanced        balanced       
bale            baling          baled           baled          
ball            balling         balled          balled         
balloon         ballooning      ballooned       ballooned      
ballot          balloting       balloted        balloted       
balls           balling         balled          balled         
bamboozle       bamboozling     bamboozled      bamboozled     
ban             banning         banned          banned         
band            banding         banded          banded         
bandage         bandaging       bandaged        bandaged       
bandy           bandying        bandied         bandied        
bang            banging         banged          banged         
bangs           banging         banged          banged         
banish          banishing       banished        banished       
bank            banking         banked          banked         
bankroll        bankrolling     bankrolled      bankrolled     
bankrupt        bankrupting     bankrupted      bankrupted     
banter          bantering       bantered        bantered       
baptise         baptising       baptised        baptised       
baptize         baptizing       baptized        baptized       
bar             barring         barred          barred         
barbecue        barbecuing      barbecued       barbecued      
bare            baring          bared           bared          
barf            barfing         barfed          barfed         
bargain         bargaining      bargained       bargained      
barge           barging         barged          barged         
bark            barking         barked          barked         
barnstorm       barnstorming    barnstormed     barnstormed    
barrack         barracking      barracked       barracked      
barrel          barreling       barreled        barreled       
barricade       barricading     barricaded      barricaded     
barter          bartering       bartered        bartered       
base            basing          based           based          
bash            bashing         bashed          bashed         
bask            basking         basked          basked         
bastardise      bastardising    bastardised     bastardised    
bastardize      bastardizing    bastardized     bastardized    
baste           basting         basted          basted         
bat             batting         batted          batted         
batch           batching        batched         batched        
bath            bathing         bathed          bathed         
bathe           bathing         bathed          bathed         
batten          battening       battened        battened       
batter          battering       battered        battered       
battle          battling        battled         battled        
baulk           baulking        baulked         baulked        
bawl            bawling         bawled          bawled         
bay             baying          bayed           bayed          
bayonet         bayoneting      bayoneted       bayoneted      
be              being           was             been           
